Date,HomeTeam,AwayTeam,FTHG,FTAG,HomeOdds,DrawOdds,AwayOdds
null,Strasbourg,Lens,1,1,2.35,3.68,3.18
2026-02-22,Strasbourg,Lyon,3,1,2.40,3.62,3.22
2026-02-22,Angers,Lille,0,1,4.88,3.70,1.93
2026-02-22,Nantes,Le Havre,2,0,2.52,3.42,3.15
2026-02-22,Nice,Lorient,3,3,2.25,3.56,3.52
2026-02-22,Auxerre,Rennes,0,3,3.06,3.50,2.53
2026-02-21,PSG,Metz,3,0,1.17,12.00,20.00
2026-02-21,Toulouse,Paris FC,1,1,2.10,3.46,4.38
2026-02-21,Lens,Monaco,2,3,1.80,4.41,4.88
2026-02-20,Brest,Marseille,2,0,4.40,3.91,1.95
2026-02-15,Lyon,Nice,2,0,1.95,3.82,4.55
2026-02-15,Lorient,Angers,2,0,2.06,3.45,4.86
2026-02-15,Metz,Auxerre,1,3,3.27,3.20,2.62
2026-02-15,Le Havre,Toulouse,2,1,3.73,3.25,2.40
2026-02-14,Paris FC,Lens,0,5,4.16,3.60,2.03
2026-02-14,Lille,Brest,1,1,1.65,4.10,6.10
2026-02-14,Marseille,Strasbourg,2,2,2.09,3.94,3.85
2026-02-13,Monaco,Nantes,3,1,1.50,5.07,7.18
2026-02-13,Rennes,PSG,3,1,8.18,5.85,1.40
2026-02-08,PSG,Marseille,5,0,1.48,5.27,6.50
2026-02-08,Angers,Toulouse,1,0,4.00,3.35,2.27
2026-02-08,Auxerre,Paris FC,0,0,2.61,3.38,3.00
2026-02-08,Le Havre,Strasbourg,2,1,4.40,3.85,1.90
2026-02-08,Nice,Monaco,0,0,3.56,3.96,2.15
2026-02-07,Nantes,Lyon,0,1,5.14,3.90,1.76
2026-02-07,Brest,Lorient,2,0,2.45,3.30,3.58
2026-02-07,Lens,Rennes,3,1,1.64,4.50,5.80
2026-02-06,Metz,Lille,0,0,6.80,4.54,1.54
2026-02-01,Strasbourg,PSG,1,2,5.42,4.41,1.67
2026-02-01,Angers,Metz,1,0,2.26,3.45,3.71
2026-02-01,Nice,Brest,2,2,2.32,3.50,3.37
2026-02-01,Toulouse,Auxerre,0,0,1.83,3.70,5.13
2026-02-01,Lyon,Lille,1,0,2.31,3.57,3.43
2026-01-31,Monaco,Rennes,4,0,2.00,4.10,3.90
2026-01-31,Lorient,Nantes,2,1,1.94,3.60,4.42
2026-01-31,Paris FC,Marseille,2,2,4.76,4.00,1.85
2026-01-30,Lens,Le Havre,1,0,1.48,5.00,7.60
2026-01-25,Lille,Strasbourg,1,4,2.56,3.35,3.13
2026-01-25,Brest,Toulouse,0,2,3.16,3.05,2.73
2026-01-25,Metz,Lyon,2,5,5.73,3.95,1.70
2026-01-25,Paris FC,Angers,0,0,1.92,3.60,4.79
2026-01-25,Nantes,Nice,1,4,2.78,3.45,2.69
2026-01-24,Marseille,Lens,3,1,2.20,3.90,3.51
2026-01-24,Le Havre,Monaco,0,0,4.70,4.10,1.86
2026-01-24,Rennes,Lorient,0,2,1.86,3.85,4.70
2026-01-23,Auxerre,PSG,0,1,10.20,5.90,1.41
2026-01-18,Lyon,Brest,2,1,1.69,4.01,5.67
2026-01-18,Nantes,Paris FC,1,2,2.75,3.25,2.90
2026-01-18,Rennes,Le Havre,1,1,1.66,4.31,5.50
2026-01-18,Strasbourg,Metz,2,1,1.49,4.95,7.62
2026-01-17,Angers,Marseille,2,5,5.93,4.30,1.63
2026-01-17,Toulouse,Nice,5,1,2.03,3.68,4.10
2026-01-17,Lens,Auxerre,1,0,1.51,4.60,7.50
2026-01-16,PSG,Lille,3,0,1.30,6.60,10.50
2026-01-16,Monaco,Lorient,1,3,1.67,4.31,5.60
2026-01-04,PSG,Paris FC,2,1,1.29,9.98,22.00
2026-01-04,Brest,Auxerre,2,0,2.02,3.50,4.42
2026-01-04,Le Havre,Angers,2,1,2.50,3.30,3.80
2026-01-04,Lorient,Metz,1,1,1.88,3.77,4.51
2026-01-04,Marseille,Nantes,0,2,1.28,6.72,11.60
2026-01-03,Lille,Rennes,0,2,1.88,4.03,4.85
2026-01-03,Nice,Strasbourg,1,1,3.45,3.65,2.48
2026-01-03,Monaco,Lyon,1,3,2.15,4.00,3.61
2026-01-02,Toulouse,Lens,0,3,2.79,3.40,3.00
2025-12-14,Marseille,Monaco,1,0,2.12,3.90,3.83
2025-12-14,Auxerre,Lille,3,4,4.83,3.50,1.95
2025-12-14,Lens,Nice,2,0,1.63,4.70,6.00
2025-12-14,Strasbourg,Lorient,0,0,1.82,3.93,4.60
2025-12-14,Lyon,Le Havre,1,0,1.66,4.33,5.70
2025-12-13,Paris FC,Toulouse,0,3,2.83,3.25,2.88
2025-12-13,Metz,PSG,2,3,10.66,6.81,1.29
2025-12-13,Rennes,Brest,3,1,1.90,3.90,4.50
2025-12-12,Angers,Nantes,4,1,2.22,3.30,3.90
2025-12-07,Lorient,Lyon,1,0,4.06,3.50,2.11
2025-12-07,Auxerre,Metz,3,1,2.06,3.55,3.90
2025-12-07,Le Havre,Paris FC,0,0,2.97,3.30,2.67
2025-12-07,Nice,Angers,0,1,1.90,3.82,4.85
2025-12-06,PSG,Rennes,5,0,1.33,6.60,9.50
2025-12-06,Toulouse,Strasbourg,1,0,2.65,3.40,2.90
2025-12-06,Nantes,Lens,1,2,5.40,4.10,1.71
2025-12-05,Lille,Marseille,1,0,2.52,3.60,3.08
2025-12-05,Brest,Monaco,1,0,3.63,3.95,2.10
2025-11-30,Lyon,Nantes,3,0,1.46,5.00,8.70
2025-11-30,Angers,Lens,1,2,5.42,4.07,1.75
2025-11-30,Le Havre,Lille,0,1,4.85,3.85,1.85
2025-11-30,Lorient,Nice,3,1,2.46,3.50,3.05
2025-11-30,Strasbourg,Brest,1,2,1.84,3.95,4.70
2025-11-29,Marseille,Toulouse,2,2,1.69,4.10,5.50
2025-11-29,Paris FC,Auxerre,1,1,1.95,3.70,4.44
2025-11-29,Monaco,PSG,1,0,4.73,4.50,1.75
2025-11-28,Metz,Rennes,0,1,4.14,3.97,1.95
2025-11-23,Lille,Paris FC,4,2,1.71,4.34,5.28
2025-11-23,Brest,Metz,3,2,1.90,3.90,4.70
2025-11-23,Nantes,Lorient,1,1,3.08,3.48,2.73
2025-11-23,Toulouse,Angers,0,1,1.75,4.00,5.95
2025-11-23,Auxerre,Lyon,0,0,4.20,3.58,2.04
2025-11-22,PSG,Le Havre,3,0,1.24,9.19,15.00
2025-11-22,Rennes,Monaco,4,1,2.73,3.85,2.86
2025-11-22,Lens,Strasbourg,1,0,2.19,3.85,3.60
2025-11-21,Nice,Marseille,1,5,4.02,3.85,2.05
2025-11-09,Lyon,PSG,2,3,5.97,4.30,1.67
2025-11-09,Angers,Auxerre,2,0,2.62,3.11,3.10
2025-11-09,Metz,Nice,2,1,3.25,3.70,2.31
2025-11-09,Strasbourg,Lille,2,0,2.95,3.82,2.55
2025-11-09,Lorient,Toulouse,1,1,3.25,3.37,2.47
2025-11-08,Monaco,Lens,1,4,2.04,4.00,3.65
2025-11-08,Le Havre,Nantes,1,1,1.95,3.60,4.72
2025-11-08,Marseille,Brest,3,0,1.54,4.90,6.50
2025-11-07,Paris FC,Rennes,0,1,2.39,3.69,3.25
2025-11-02,Brest,Lyon,0,0,3.70,3.48,2.25
2025-11-02,Lens,Lorient,3,0,1.60,4.40,6.25
2025-11-02,Lille,Angers,1,0,1.40,5.34,8.90
2025-11-02,Nantes,Metz,0,2,2.15,3.70,3.60
2025-11-02,Toulouse,Le Havre,0,0,1.80,3.80,5.65
2025-11-02,Rennes,Strasbourg,4,1,2.85,3.58,2.64
2025-11-01,Auxerre,Marseille,0,1,5.65,4.00,1.71
2025-11-01,Monaco,Paris FC,0,1,1.71,4.40,4.96
2025-11-01,PSG,Nice,1,0,1.20,8.82,18.09
2025-10-29,Marseille,Angers,2,2,1.27,6.90,13.00
2025-10-29,Nantes,Monaco,3,5,5.00,4.25,1.75
2025-10-29,Paris FC,Lyon,3,3,2.98,3.70,2.57
2025-10-29,Strasbourg,Auxerre,3,0,1.75,4.11,5.10
2025-10-29,Toulouse,Rennes,2,2,2.14,3.68,3.91
2025-10-29,Le Havre,Brest,1,0,2.98,3.35,2.70
2025-10-29,Lorient,PSG,1,1,10.80,6.69,1.38
2025-10-29,Metz,Lens,2,0,6.50,4.92,1.78
2025-10-29,Nice,Lille,2,0,4.20,4.04,2.81
2025-10-26,Lyon,Strasbourg,2,1,2.13,3.80,4.00
2025-10-26,Angers,Lorient,2,0,2.83,3.20,2.95
2025-10-26,Auxerre,Le Havre,0,1,2.17,3.45,3.76
2025-10-26,Rennes,Nice,1,2,2.23,3.70,3.77
2025-10-26,Lille,Metz,6,1,1.33,7.00,12.71
2025-10-25,Lens,Marseille,2,1,2.70,3.69,2.85
2025-10-25,Monaco,Toulouse,1,0,2.21,3.96,3.76
2025-10-25,Brest,PSG,0,3,9.50,5.80,1.37
2025-10-24,Paris FC,Nantes,1,2,1.67,4.30,6.27
2025-10-19,Nantes,Lille,0,2,5.68,4.02,1.83
2025-10-19,Lorient,Brest,3,3,2.86,3.38,2.85
2025-10-19,Rennes,Auxerre,2,2,1.90,3.82,4.70
2025-10-19,Toulouse,Metz,4,0,1.59,4.50,6.50
2025-10-19,Lens,Paris FC,2,1,1.90,4.00,4.38
2025-10-18,Marseille,Le Havre,6,2,1.36,5.67,10.98
2025-10-18,Angers,Monaco,1,1,5.90,4.20,1.67
2025-10-18,Nice,Lyon,3,2,2.48,3.60,3.28
2025-10-17,PSG,Strasbourg,3,3,1.42,5.80,10.00
2025-10-05,Lille,PSG,1,1,3.86,3.70,2.12
2025-10-05,Monaco,Nice,2,2,2.01,3.95,3.98
2025-10-05,Le Havre,Rennes,2,2,3.34,3.61,2.35
2025-10-05,Strasbourg,Angers,5,0,1.78,3.88,5.30
2025-10-05,Lyon,Toulouse,1,2,2.06,3.50,4.06
2025-10-04,Auxerre,Lens,1,2,3.80,3.90,2.10
2025-10-04,Brest,Nantes,0,0,1.95,3.67,4.30
2025-10-04,Metz,Marseille,0,3,6.75,4.50,1.60
2025-10-03,Paris FC,Lorient,2,0,1.90,3.95,4.85
2025-09-28,Rennes,Lens,0,0,2.80,3.60,2.65
2025-09-28,Angers,Brest,0,2,3.42,3.30,2.45
2025-09-28,Lille,Lyon,0,1,2.35,3.56,3.29
2025-09-28,Metz,Le Havre,0,0,2.62,3.42,2.88
2025-09-28,Nice,Paris FC,1,1,2.20,3.70,3.50
2025-09-27,PSG,Auxerre,2,0,1.25,7.90,15.00
2025-09-27,Toulouse,Nantes,2,2,1.82,3.85,5.57
2025-09-27,Lorient,Monaco,3,1,4.36,4.03,1.97
2025-09-26,Strasbourg,Marseille,1,2,3.34,3.70,2.25
2025-09-22,Marseille,PSG,1,0,4.40,3.95,1.91
2025-09-21,Auxerre,Toulouse,1,0,3.54,3.37,2.28
2025-09-21,Le Havre,Lorient,1,1,2.20,3.49,3.90
2025-09-21,Monaco,Metz,5,2,1.36,6.10,9.36
2025-09-21,Paris FC,Strasbourg,2,3,2.45,3.50,3.06
2025-09-20,Lens,Lille,3,0,2.41,3.57,3.31
2025-09-20,Brest,Nice,4,1,3.25,3.65,2.35
2025-09-20,Nantes,Rennes,2,2,4.22,3.58,2.05
2025-09-19,Lyon,Angers,1,0,1.50,4.80,7.50
2025-09-14,Rennes,Lyon,3,1,2.71,3.60,2.95
2025-09-14,Brest,Paris FC,1,2,2.80,3.69,3.05
2025-09-14,Metz,Angers,1,1,2.42,3.45,3.40
2025-09-14,PSG,Lens,2,0,1.39,5.99,8.35
2025-09-14,Strasbourg,Le Havre,1,0,1.87,4.24,5.14
2025-09-14,Lille,Toulouse,2,1,1.95,4.01,4.58
2025-09-13,Auxerre,Monaco,1,2,5.30,4.72,1.63
2025-09-13,Nice,Nantes,1,0,1.72,4.40,6.59
2025-09-12,Marseille,Lorient,4,0,1.38,5.65,9.30
2025-08-31,Lyon,Marseille,1,0,3.01,3.60,2.55
2025-08-31,Le Havre,Nice,3,1,3.33,3.51,2.34
2025-08-31,Monaco,Strasbourg,3,2,1.48,5.32,7.50
2025-08-31,Paris FC,Metz,3,2,1.80,4.04,4.79
2025-08-31,Angers,Rennes,1,1,4.75,3.77,1.87
2025-08-30,Toulouse,PSG,3,6,8.90,5.60,1.37
2025-08-30,Nantes,Auxerre,1,0,2.62,3.38,3.07
2025-08-30,Lorient,Lille,1,7,3.41,3.59,2.22
2025-08-29,Lens,Brest,3,1,1.99,3.80,4.05
2025-08-24,Lille,Monaco,1,0,3.45,3.76,2.20
2025-08-24,Le Havre,Lens,1,2,4.70,3.90,1.90
2025-08-24,Strasbourg,Nantes,1,0,1.81,3.70,5.50
2025-08-24,Toulouse,Brest,2,0,2.34,3.49,3.36
2025-08-24,Lorient,Rennes,4,0,2.85,3.44,2.65
2025-08-23,Lyon,Metz,3,0,1.44,5.28,7.80
2025-08-23,Nice,Auxerre,3,1,1.90,4.00,4.80
2025-08-23,Marseille,Paris FC,5,2,1.46,5.20,8.00
2025-08-22,PSG,Angers,1,0,1.10,16.50,36.00
2025-08-17,Nantes,PSG,0,1,14.50,7.50,1.23
2025-08-17,Angers,Paris FC,1,0,3.15,3.45,2.44
2025-08-17,Auxerre,Lorient,1,0,2.62,3.40,3.09
2025-08-17,Metz,Strasbourg,0,1,4.10,3.60,2.07
2025-08-17,Brest,Lille,3,3,2.68,3.35,3.07
2025-08-16,Nice,Toulouse,0,1,2.08,3.60,4.44
2025-08-16,Monaco,Le Havre,3,1,1.25,7.20,12.77
2025-08-16,Lens,Lyon,0,1,2.57,3.55,2.88
2025-08-15,Rennes,Marseille,1,0,4.20,3.83,1.98
